date,w_AAPL,w_MSFT,w_GOOG,w_AMZN,w_TSLA
2022-07-29,-0.39065233132320637,-0.1452679349153778,0.03965511596425367,0.15474894850425364,0.2696756692929085
2022-08-01,-0.39292492616989483,-0.09954910687215464,0.13777987448609583,0.20366427335588694,0.16608181911596764
2022-08-02,-0.3003209524690481,-0.1736398648486455,-0.00913429924588796,0.27943764257393194,0.2374672408624864
2022-08-03,-0.38292889352831044,-0.11226502937760312,0.07275144020502324,0.26447613259824576,0.16757850429081741
2022-08-04,-0.22328992349388055,-0.1992377643544924,-0.04266911581682755,0.3149346942975039,0.21986850203729555
2022-08-05,-0.10947988865042384,-0.2709074247199135,-0.05737105928757798,0.3691926910029686,0.19304893633911602
2022-08-08,-0.04734905785553974,-0.2627084275767263,-0.1143601749796314,0.32905150897858404,0.24653083060951841
2022-08-09,-0.2122117107679491,-0.22001839274237814,-0.03931769888606211,0.3098901657107819,0.2185620318928287
2022-08-10,-0.31158249086763457,-0.16155841805998247,-0.016820599935200558,0.27749697870281637,0.23254151243436605
2022-08-11,-0.26444521937723375,-0.20209240800976097,0.09136281599862733,0.23050611080352235,0.21159344581085554
2022-08-12,-0.3943520430280451,-0.10108098693723044,0.0019642195690631856,0.3164851773496651,0.18611757311599625
2022-08-15,-0.4129822606020926,-0.08409213091804359,0.04633929980554287,0.30488611837534346,0.15170019029897755
2022-08-16,-0.5001352201629209,-0.04386480174716653,0.23917184093953014,0.1126435505118778,0.10418458663850465
2022-08-17,-0.509296657988998,-0.02535932849657473,0.14304157600800935,0.2176417182199054,0.10466071928651252
2022-08-18,-0.5695530587284796,0.03620629562755274,0.25655124478936897,0.08071140604240185,0.056977994812196966
2022-08-19,-0.5269125183212282,0.049424862413626695,0.27481488921089575,0.13479511635132363,0.014052613702925775
2022-08-22,-0.4094908178768034,0.08292613774007503,0.34161401345243925,0.07422660579593042,-0.09174242513475181
2022-08-23,-0.42402009793322903,0.12300982919506295,0.33450725919158864,-0.019348812034968986,-0.09911400164515051
2022-08-24,-0.34363146926911686,0.11673270607945752,0.34006536923742153,-0.05950619054008099,-0.14006426487392318
2022-08-25,-0.23636599196089117,0.13710336613902854,0.30611437373892975,-0.16282115541670475,-0.1575951127444458
2022-08-26,-0.09717719330300215,-0.05178057029741952,0.27878453949468696,0.336595536842738,-0.23566216006215326
2022-08-29,-0.332402794064681,0.11740193121993438,0.3577101083395483,-0.046673645850642265,-0.1458115205251942
2022-08-30,-0.32266025569010864,0.1071321372104833,0.3491018633699408,0.03377079475649323,-0.18733494897297406
2022-08-31,-0.2975408394901398,0.07823633580503916,0.38148502237543436,0.04628623156437688,-0.1964515707650097
2022-09-01,-0.3020200517967594,0.1288620578744472,0.3432605781355526,-0.030560152399989698,-0.19529715979325116
2022-09-02,-0.046625626544013345,-0.20634572859958347,-0.025356164425569403,0.6819547882113242,-0.039717692219509625
2022-09-06,-0.3841342247207248,0.011457281657399598,0.18096918197964462,0.34760855684379804,-0.075830754798433
2022-09-07,-0.2876889983352097,0.15793620231392727,0.2564752360408181,-0.1769844608578444,-0.12091510245220059
2022-09-08,-0.3764674431273516,0.14354447923755106,0.3181866395278417,-0.019547414460234502,-0.14225402364702103
2022-09-09,-0.21923122876755546,0.17625014529899186,0.2241259581875674,-0.23818986911934875,-0.14220279862653656
2022-09-12,0.1560720605309617,0.1817326583670825,-0.03666021475655464,0.1292442276983027,-0.4962908386470985
2022-09-13,0.0939038960769183,-0.1220522144417731,-0.002103948014400094,0.5616810079049941,-0.22025893356191426
2022-09-14,-0.4553605644852746,0.2401702734990001,0.1390150368047567,-0.06517913819417144,-0.10027498701679716
2022-09-15,-0.24460661476579695,0.18237252072441942,0.23270441080084234,-0.11826279950941293,-0.22205365419952838
2022-09-16,-0.2388566700817835,0.17544370868860135,0.24127605978811456,-0.15580310711270517,-0.18862045432879532
2022-09-19,-0.36099702769777503,0.25494219305494714,0.12978124516171033,-0.121078385030725,-0.13320114905484254
2022-09-20,-0.17489143913698874,0.18283216080281225,0.23868376842304145,-0.17226639108191663,-0.23132624055524093
2022-09-21,-0.19744251382873682,0.18811750511765205,0.2575806190801927,-0.11776709583793345,-0.23909226613548493
2022-09-22,-0.14908041841482417,0.19771210563510075,0.22498448901114643,-0.18831501237097126,-0.23990797456795726
2022-09-23,-0.19052595266086128,0.20175174065966914,0.23412919364004028,-0.1488139917867285,-0.22477912125270083
2022-09-26,-0.21421076160352315,0.1852444719701575,0.2509036328963012,-0.13740928015707732,-0.21223185337294093
2022-09-27,-0.2542501120966598,0.18320054816693535,0.245721857326057,-0.14854753412334107,-0.16827994828700674
2022-09-28,-0.21729291277974586,0.17014792395093462,0.2657771554130834,-0.18363287482911794,-0.16314913302711817
2022-09-29,0.014955875938549166,-0.20287211145662945,-0.14730404938241087,0.5221696348334944,0.11269832838891607
2022-09-30,0.15252466927504968,-0.20846804169154762,0.022924886329661585,0.5309982009226156,-0.08508420178112545
2022-10-03,-0.1311132680613512,0.21840247824831463,0.1909386992504907,-0.2238459694586367,-0.2356995849812068
2022-10-04,-0.14156565852653463,0.15051015166645457,0.2707464051727788,-0.2920735742096119,-0.14510421042462024
2022-10-05,-0.23588426866256185,0.19858384684352273,0.22091161568407308,-0.21388928149474312,-0.13073098731509927
2022-10-06,-0.17073929598851725,0.230614412750483,0.19406149854099833,-0.22387066950722903,-0.18071412321277236
